team,elo
Royal Challengers Bengaluru,1635.585627853757
Kolkata Knight Riders,1517.470650349199
Delhi Capitals,1530.1898824208693
Rajasthan Royals,1517.4151145289516
Punjab Kings,1520.907750826147
Chennai Super Kings,1469.1192564912767
Mumbai Indians,1456.2445562424123
Deccan Chargers,1425.8469972024511
Kochi Tuskers Kerala,1478.0751493741905
Pune Warriors India,1354.5807622287168
Sunrisers Hyderabad,1556.9057496736193
Rising Pune Supergiant,1552.041386835254
Gujarat Lions,1456.3756120384253
Lucknow Super Giants,1450.3937784363131
Gujarat Titans,1578.8477254984177
