team,matches,wins,win_rate,avg_runs,avg_wickets,avg_run_rate,elo
Royal Challengers Bengaluru,280,143,0.5107142857142857,162.65714285714284,5.775,8.63184243297571,1635.585627853757
Kolkata Knight Riders,271,140,0.5166051660516605,157.81918819188192,5.929889298892989,8.433609553687939,1517.470650349199
Delhi Capitals,272,125,0.45955882352941174,158.0625,6.0661764705882355,8.343353470102345,1530.1898824208693
Rajasthan Royals,245,123,0.5020408163265306,161.9142857142857,6.03265306122449,8.454284532051163,1517.4151145289516
Punjab Kings,271,126,0.46494464944649444,164.36531365313652,6.143911439114391,8.587204396374752,1520.907750826147
Chennai Super Kings,264,148,0.5606060606060606,164.60227272727272,5.356060606060606,8.469760451744294,1469.1192564912767
Mumbai Indians,287,155,0.5400696864111498,163.43554006968643,5.958188153310105,8.516359903523323,1456.2445562424123
Deccan Chargers,75,29,0.38666666666666666,152.84,6.44,7.8700188841922865,1425.8469972024511
Kochi Tuskers Kerala,14,6,0.42857142857142855,135.78571428571428,6.142857142857143,7.839377103256936,1478.0751493741905
Pune Warriors India,45,12,0.26666666666666666,141.2888888888889,6.622222222222222,7.236957529319804,1354.5807622287168
Sunrisers Hyderabad,206,102,0.49514563106796117,164.99514563106797,5.868932038834951,8.601412373503141,1556.9057496736193
Rising Pune Supergiant,30,15,0.5,151.1,5.233333333333333,8.041269281665102,1552.041386835254
Gujarat Lions,29,13,0.4482758620689655,162.17241379310346,6.172413793103448,8.552482848473321,1456.3756120384253
Lucknow Super Giants,70,34,0.4857142857142857,178.18571428571428,6.214285714285714,9.110173408890397,1450.3937784363131
Gujarat Titans,77,47,0.6103896103896104,178.4805194805195,5.402597402597403,9.186176292813133,1578.8477254984177
