team,venue,matches,wins
England,"Trent Bridge, Nottingham",4,2
Sri Lanka,"Trent Bridge, Nottingham",1,0
England,"Lord's, London",9,7
India,"Lord's, London",3,1
New Zealand,"McLean Park, Napier",4,3
India,"McLean Park, Napier",1,0
India,"Jade Stadium, Christchurch",1,0
New Zealand,"Jade Stadium, Christchurch",1,1
India,"Davies Park, Queenstown",1,0
New Zealand,"Davies Park, Queenstown",1,1
New Zealand,"Westpac Stadium, Wellington",1,0
India,"Westpac Stadium, Wellington",1,1
Sri Lanka,Sydney Cricket Ground,9,5
Australia,Sydney Cricket Ground,41,30
Australia,"Bellerive Oval, Hobart",1,1
England,"Bellerive Oval, Hobart",1,0
England,Sydney Cricket Ground,10,3
India,"Westpac Park, Hamilton",1,0
New Zealand,"Westpac Park, Hamilton",1,1
Sri Lanka,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,0
Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",1,1
England,Adelaide Oval,9,2
Sri Lanka,Adelaide Oval,8,3
Australia,Adelaide Oval,25,17
Sri Lanka,Melbourne Cricket Ground,7,4
Australia,Melbourne Cricket Ground,34,24
England,Melbourne Cricket Ground,8,2
West Indies,"Newlands, Cape Town",2,1
South Africa,"Newlands, Cape Town",3,1
Zimbabwe,Harare Sports Club,94,32
Namibia,Harare Sports Club,1,0
Sri Lanka,"Goodyear Park, Bloemfontein",1,1
New Zealand,"Goodyear Park, Bloemfontein",2,1
Canada,"Kingsmead, Durban",1,1
Bangladesh,"Kingsmead, Durban",1,0
Australia,"New Wanderers Stadium, Johannesburg",2,2
Pakistan,"New Wanderers Stadium, Johannesburg",1,0
India,"Boland Bank Park, Paarl",1,1
Netherlands,"Boland Bank Park, Paarl",2,0
Kenya,"North West Cricket Stadium, Potchefstroom",1,0
South Africa,"North West Cricket Stadium, Potchefstroom",1,1
New Zealand,"St George's Park, Port Elizabeth",2,1
West Indies,"St George's Park, Port Elizabeth",1,0
India,"SuperSport Park, Centurion",3,2
Australia,"SuperSport Park, Centurion",3,2
Canada,"Newlands, Cape Town",1,0
Kenya,"Newlands, Cape Town",2,1
Netherlands,"Buffalo Park, East London",1,0
England,"Buffalo Park, East London",1,1
Pakistan,"De Beers Diamond Oval, Kimberley",1,1
Namibia,"De Beers Diamond Oval, Kimberley",1,0
South Africa,"New Wanderers Stadium, Johannesburg",1,0
New Zealand,"New Wanderers Stadium, Johannesburg",1,1
India,Harare Sports Club,18,15
Canada,"Boland Bank Park, Paarl",1,0
Sri Lanka,"Boland Bank Park, Paarl",1,1
England,"St George's Park, Port Elizabeth",2,1
Namibia,"St George's Park, Port Elizabeth",1,0
England,"Newlands, Cape Town",1,1
Pakistan,"Newlands, Cape Town",2,1
Bangladesh,"Goodyear Park, Bloemfontein",1,0
South Africa,"Goodyear Park, Bloemfontein",1,1
Canada,"SuperSport Park, Centurion",1,0
West Indies,"SuperSport Park, Centurion",1,1
India,"City Oval, Pietermaritzburg",1,1
Namibia,"City Oval, Pietermaritzburg",1,0
Zimbabwe,"Queens Sports Club, Bulawayo",9,4
Australia,"Queens Sports Club, Bulawayo",1,1
Kenya,"Gymkhana Club Ground, Nairobi",1,1
Sri Lanka,"Gymkhana Club Ground, Nairobi",1,0
Pakistan,"Boland Bank Park, Paarl",1,1
India,"Kingsmead, Durban",2,2
England,"Kingsmead, Durban",1,0
Bangladesh,"De Beers Diamond Oval, Kimberley",1,0
New Zealand,"De Beers Diamond Oval, Kimberley",1,1
Australia,"North West Cricket Stadium, Potchefstroom",1,1
Namibia,"North West Cricket Stadium, Potchefstroom",1,0
South Africa,"Buffalo Park, East London",2,1
Canada,"Buffalo Park, East London",1,0
Netherlands,"Queens Sports Club, Bulawayo",3,1
Sri Lanka,"Newlands, Cape Town",1,1
Kenya,"New Wanderers Stadium, Johannesburg",1,1
Bangladesh,"New Wanderers Stadium, Johannesburg",1,0
Pakistan,"SuperSport Park, Centurion",3,2
Australia,"St George's Park, Port Elizabeth",3,3
Canada,"Willowmoore Park, Benoni",1,0
New Zealand,"Willowmoore Park, Benoni",1,1
Netherlands,"Goodyear Park, Bloemfontein",1,1
Namibia,"Goodyear Park, Bloemfontein",1,0
Sri Lanka,"SuperSport Park, Centurion",1,0
India,"Newlands, Cape Town",2,1
Zimbabwe,"Goodyear Park, Bloemfontein",2,0
India,"New Wanderers Stadium, Johannesburg",2,1
Sri Lanka,"New Wanderers Stadium, Johannesburg",1,0
Kenya,"Goodyear Park, Bloemfontein",1,1
New Zealand,"SuperSport Park, Centurion",1,0
Sri Lanka,"Buffalo Park, East London",1,1
Zimbabwe,"Buffalo Park, East London",1,0
Kenya,"Kingsmead, Durban",2,0
Australia,"Kingsmead, Durban",1,1
Sri Lanka,"St George's Park, Port Elizabeth",1,0
Pakistan,Sharjah Cricket Association Stadium,4,4
Zimbabwe,Sharjah Cricket Association Stadium,4,2
Sri Lanka,Sharjah Cricket Association Stadium,3,1
Kenya,Sharjah Cricket Association Stadium,3,0
Pakistan,Rangiri Dambulla International Stadium,11,3
Sri Lanka,Rangiri Dambulla International Stadium,34,18
New Zealand,Rangiri Dambulla International Stadium,8,4
Australia,"Sabina Park, Kingston, Jamaica",1,1
West Indies,"Sabina Park, Kingston, Jamaica",5,1
Australia,"Queen's Park (New), St George's, Grenada",2,0
West Indies,"Queen's Park (New), St George's, Grenada",2,2
Sri Lanka,"Kensington Oval, Bridgetown, Barbados",1,1
West Indies,"Kensington Oval, Bridgetown, Barbados",13,6
Sri Lanka,"Arnos Vale Ground, Kingstown, St Vincent",1,0
West Indies,"Arnos Vale Ground, Kingstown, St Vincent",1,1
England,"Old Trafford, Manchester",4,1
Pakistan,"Old Trafford, Manchester",1,1
Pakistan,"Kennington Oval, London",1,0
England,"Kennington Oval, London",6,5
Pakistan,"Lord's, London",2,0
Zimbabwe,"Trent Bridge, Nottingham",1,1
South Africa,"Kennington Oval, London",1,0
South Africa,"St Lawrence Ground, Canterbury",1,1
Zimbabwe,"St Lawrence Ground, Canterbury",1,0
South Africa,"Old Trafford, Manchester",2,1
Zimbabwe,"The Royal & Sun Alliance County Ground, Bristol",1,0
England,"The Royal & Sun Alliance County Ground, Bristol",1,1
Zimbabwe,"The Rose Bowl, Southampton",1,0
South Africa,"The Rose Bowl, Southampton",2,1
South Africa,"Lord's, London",2,1
Bangladesh,"Bundaberg Rum Stadium, Cairns",2,0
Australia,"Bundaberg Rum Stadium, Cairns",2,2
Australia,"Marrara Cricket Ground, Darwin",1,1
Bangladesh,"Marrara Cricket Ground, Darwin",1,0
Pakistan,Multan Cricket Stadium,11,8
Bangladesh,Multan Cricket Stadium,2,0
Bangladesh,Rawalpindi Cricket Stadium,2,0
Pakistan,Rawalpindi Cricket Stadium,15,11
Pakistan,"National Stadium, Karachi",10,5
Bangladesh,"National Stadium, Karachi",1,0
Pakistan,"Gaddafi Stadium, Lahore",11,8
South Africa,"Gaddafi Stadium, Lahore",4,0
Pakistan,"Iqbal Stadium, Faisalabad",4,2
South Africa,"Iqbal Stadium, Faisalabad",4,2
South Africa,Rawalpindi Cricket Stadium,2,2
India,"Captain Roop Singh Stadium, Gwalior",1,1
Australia,"Captain Roop Singh Stadium, Gwalior",1,0
New Zealand,"Nahar Singh Stadium, Faridabad",1,0
Australia,"Nahar Singh Stadium, Faridabad",1,1
Australia,"Wankhede Stadium, Mumbai",2,1
India,"Wankhede Stadium, Mumbai",4,3
New Zealand,"Nehru Stadium, Poona",1,0
Australia,"Nehru Stadium, Poona",1,1
India,"Barabati Stadium, Cuttack",2,1
New Zealand,"Barabati Stadium, Cuttack",1,1
Bangladesh,"MA Aziz Stadium, Chittagong",1,0
England,"MA Aziz Stadium, Chittagong",1,1
Bangladesh,"Bangabandhu National Stadium, Dhaka",2,0
England,"Bangabandhu National Stadium, Dhaka",2,2
India,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",1,1
New Zealand,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",1,0
England,Rangiri Dambulla International Stadium,4,2
West Indies,"Queens Sports Club, Bulawayo",1,0
West Indies,Harare Sports Club,14,9
New Zealand,"Gaddafi Stadium, Lahore",5,3
New Zealand,Rawalpindi Cricket Stadium,4,1
